Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
1181.0,Car,419.84,37.991134,23.735613,45.0781,0.0
,,420.84,37.991156,23.735476000000002,43.2206,12.252465221250691
,,421.84,37.991176,23.735344,42.2589,24.03153480461952
,,422.84,37.991197,23.735214000000003,41.4704,35.66054776306025
,,423.84,37.991217,23.735087,40.5625,47.009992709518855
,,424.84,37.991236,23.734962,39.6509,58.16580291771107
,,425.84,37.991254999999995,23.73484,38.8253,69.06380128492319
,,426.84,37.991273,23.734721,38.1338,79.68230267110862
,,427.84,37.991291,23.734605,36.4295,90.04292072158793
,,428.84,37.991308000000004,23.734494,34.7356,99.9521314547318
,,429.84,37.991324,23.734391,31.3081,109.15201465312936
,,430.84,37.991338,23.7343,28.1482,117.27714105095536
,,431.84,37.991351,23.734217,25.2433,124.69293383972405
,,432.84,37.991364000000004,23.734143,22.0111,131.33503585300497
,,433.84,37.991374,23.734081,18.0388,136.8808127593932
,,434.84,37.991382,23.734032,13.3478,141.2658702025736
,,435.84,37.991388,23.733998,8.8793,144.31832936218038
,,436.84,37.99139,23.733977,4.2249,146.1666314182239
,,437.84,37.99139,23.733971,0.6097,146.68239909323722
,,438.84,37.99139,23.733970000000003,0.3681,146.76836729365095
,,439.84,37.99139,23.733970000000003,0.0015,146.76836729365095
,,440.84,37.99139,23.733970000000003,0.0,146.76836729365095
,,441.84,37.99139,23.733970000000003,0.001,146.76836729365095
,,442.84,37.99139,23.733970000000003,0.5762,146.76836729365095
,,443.84,37.991392,23.733964999999998,3.3293,147.24140430352492
,,444.84,37.991395000000004,23.733945000000002,10.474,149.02547270962762
,,445.84,37.991403000000005,23.733903,16.0362,152.8089080327266
,,446.84,37.991412,23.733848000000002,19.0076,157.7313831517498
,,447.84,37.991423,23.733785,22.1681,163.3849567489073
,,448.84,37.991434999999996,23.733712,24.7506,169.9196614064804
,,449.84,37.991446999999994,23.733631,27.1849,177.14172588947326
,,450.84,37.991461,23.733544000000002,29.0708,184.92305576073414
,,451.84,37.991475,23.733451000000002,30.4439,193.21993603380048
,,452.84,37.99149,23.733357,30.0743,201.62457882676327
,,453.84,37.991505,23.733264000000002,29.3384,209.94329620127394
,,454.84,37.991519,23.733176999999998,26.1696,217.72462039014482
,,455.84,37.991531,23.733101,23.6694,224.5170735797508
,,456.84,37.991543,23.73303,22.4303,230.87992863352454
,,457.84,37.991554,23.732963,20.3838,236.87723534677372
,,458.84,37.991563,23.732906,16.1784,241.9715718115699
,,459.84,37.991569,23.732862,12.3418,245.88329869624155
,,460.84,37.991574,23.732829000000002,8.3044,248.8280479131725
,,461.84,37.991577,23.73281,4.8014,250.52616008676534
,,462.84,37.991578999999994,23.732798000000003,2.7751,251.60095345641489
,,463.84,37.99158,23.732793,0.9189,252.05242962353682
,,464.84,37.99158,23.732791,0.3834,252.2242721939765
,,465.84,37.99158,23.732791,0.1817,252.2242721939765
,,466.84,37.99158,23.732791,0.0264,252.2242721939765
,,467.84,37.99158,23.732791,0.0001,252.2242721939765
,,468.84,37.99158,23.732791,0.0,252.2242721939765
,,469.84,37.99158,23.732791,0.0,252.2242721939765
,,470.84,37.99158,23.732791,0.0,252.2242721939765
,,471.84,37.99158,23.732791,0.0,252.2242721939765
,,472.84,37.99158,23.732791,0.0,252.2242721939765
,,473.84,37.99158,23.732791,0.0,252.2242721939765
,,474.84,37.99158,23.732791,0.0,252.2242721939765
,,475.84,37.99158,23.732791,0.0,252.2242721939765
,,476.84,37.99158,23.732791,0.0,252.2242721939765
,,477.84,37.99158,23.732791,0.0,252.2242721939765
,,478.84,37.99158,23.732791,0.0,252.2242721939765
,,479.84,37.99158,23.732791,0.0,252.2242721939765
,,480.84,37.99158,23.732791,0.0,252.2242721939765
,,481.84,37.99158,23.732791,0.0,252.2242721939765
,,482.84,37.99158,23.732791,0.0,252.2242721939765
,,483.84,37.99158,23.732791,0.0,252.2242721939765
,,484.84,37.99158,23.732791,0.0,252.2242721939765
,,485.84,37.99158,23.732791,0.0,252.2242721939765
,,486.84,37.99158,23.732791,0.0,252.2242721939765
,,487.84,37.99158,23.732791,0.0,252.2242721939765
,,488.84,37.99158,23.732791,0.0,252.2242721939765
,,489.84,37.99158,23.732791,0.0,252.2242721939765
,,490.84,37.99158,23.732791,0.0,252.2242721939765
,,491.84,37.99158,23.732791,0.0,252.2242721939765
,,492.84,37.99158,23.732791,0.0,252.2242721939765
,,493.84,37.99158,23.732791,0.0,252.2242721939765
,,494.84,37.99158,23.732791,0.0,252.2242721939765
,,495.84,37.99158,23.732791,0.0,252.2242721939765
,,496.84,37.99158,23.732791,0.0,252.2242721939765
,,497.84,37.99158,23.732791,0.005,252.2242721939765
,,498.84,37.99158,23.732791,0.8252,252.2242721939765
,,499.84,37.991581,23.732785999999997,1.3604,252.67574730016528
,,500.84,37.991582,23.732784,0.3876,252.86947171617143
,,501.84,37.991582,23.732784,0.0701,252.86947171617143
,,502.84,37.991582,23.732782999999998,0.9306,252.95538812160547
,,503.84,37.991583,23.732779,1.5329,253.3209555730713
,,504.84,37.991583,23.732775,0.4497,253.66462205480585
,,505.84,37.991583,23.732775,0.1666,253.66462205480585
,,506.84,37.991583,23.732776,0.0241,253.57870367213044
,,507.84,37.991583,23.732776,0.1287,253.57870367213044
,,508.84,37.991585,23.732761,13.4003,254.91125635110106
,,509.84,37.991592,23.732715,11.4003,259.01671995824046
,,510.84,37.991597,23.73268,13.8423,262.1333210648338
,,511.84,37.991605,23.732628,18.0106,266.7761881548511
,,512.84,37.991614,23.732569,19.6721,272.04238011263647
,,513.84,37.991624,23.732506,21.1778,277.6741074547778
,,514.84,37.991636,23.73244,21.7537,283.6073095113909
,,515.84,37.991648,23.732372,22.2691,289.71243209641847
,,516.84,37.991659999999996,23.732302999999998,21.5964,295.9035179844424
,,517.84,37.991671000000004,23.732236999999998,21.0072,301.81494079526465
,,518.84,37.991682,23.732177,17.3316,307.21100340825865
,,519.84,37.991690000000006,23.732131,12.9571,311.33846707462726
,,520.84,37.991695,23.732096,9.5041,314.45494264870564
,,521.84,37.9917,23.732072,6.0329,316.6266445217221
