Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
812.0,Car,257.16,37.991133000000005,23.73561,38.2197,0.0
,,258.16,37.991153000000004,23.73549,39.2777,10.748585818962537
,,259.16,37.991172999999996,23.735367999999998,39.9226,21.668673449613966
,,260.16,37.991192,23.735242,40.586,32.909618835345235
,,261.16,37.991211,23.735118,38.5338,43.97931244398999
,,262.16,37.991228,23.735001999999998,36.3175,54.31813752829113
,,263.16,37.991245,23.734892000000002,34.7507,64.14137363685705
,,264.16,37.991261,23.734787,33.1998,73.51320454208971
,,265.16,37.991276,23.734686,32.0026,82.51965121894945
,,266.16,37.99129,23.734588000000002,30.8232,91.2468184130084
,,267.16,37.991304,23.734494,29.7154,99.63001807414733
,,268.16,37.991319,23.734404,28.5755,107.69043844736834
,,269.16,37.991334,23.734315,30.2232,115.66501369135814
,,270.16,37.991351,23.734217,32.071,124.4566242208636
,,271.16,37.991367,23.734119,31.0891,133.22673807803076
,,272.16,37.991382,23.734023999999998,29.9823,141.71731595220473
,,273.16,37.991395000000004,23.733934,27.5928,149.73477408431867
,,274.16,37.991408,23.733853,25.1044,156.9786563580509
,,275.16,37.99142,23.733778,23.6924,163.68515776769448
,,276.16,37.991432,23.733705,22.738,170.21976852729736
,,277.16,37.991444,23.733639,20.1139,176.15286234712926
,,278.16,37.991453,23.733582000000002,17.0179,181.2472073689774
,,279.16,37.991461,23.733532999999998,14.5263,185.63230277259922
,,280.16,37.991467,23.733491,11.8386,189.37224523061784
,,281.16,37.991471000000004,23.733461,7.6458,192.03742747784057
,,282.16,37.991475,23.733439,8.0687,194.01512673091534
,,283.16,37.991479,23.73341,10.3094,196.59437751009017
,,284.16,37.991484,23.733376999999997,10.025,199.5391531555123
,,285.16,37.991489,23.733347,9.518,202.2261106232114
,,286.16,37.991493,23.733320000000003,7.3811,204.63349365224101
,,287.16,37.991496000000005,23.733301,4.8924,206.33160703836177
,,288.16,37.991498,23.733291,1.3628,207.2345145641033
,,289.16,37.991498,23.733291,0.0038,207.2345145641033
,,290.16,37.991498,23.733291,0.0003,207.2345145641033
,,291.16,37.991498,23.733291,0.0,207.2345145641033
,,292.16,37.991498,23.733291,0.0,207.2345145641033
,,293.16,37.991498,23.733291,0.0,207.2345145641033
,,294.16,37.991498,23.733291,0.0,207.2345145641033
,,295.16,37.991498,23.733291,0.0,207.2345145641033
,,296.16,37.991498,23.733291,0.0,207.2345145641033
,,297.16,37.991498,23.733291,0.0,207.2345145641033
,,298.16,37.991498,23.733291,0.0,207.2345145641033
,,299.16,37.991498,23.733291,0.0,207.2345145641033
,,300.16,37.991498,23.733291,0.0,207.2345145641033
,,301.16,37.991498,23.733291,0.0,207.2345145641033
,,302.16,37.991498,23.733291,0.0,207.2345145641033
,,303.16,37.991498,23.733291,0.0,207.2345145641033
,,304.16,37.991498,23.733291,0.0,207.2345145641033
,,305.16,37.991498,23.733291,0.0,207.2345145641033
,,306.16,37.991498,23.733291,0.0,207.2345145641033
,,307.16,37.991498,23.733291,0.0,207.2345145641033
,,308.16,37.991498,23.733291,0.0,207.2345145641033
,,309.16,37.991498,23.733291,0.0,207.2345145641033
,,310.16,37.991498,23.733291,0.0,207.2345145641033
,,311.16,37.991498,23.733291,0.0,207.2345145641033
,,312.16,37.991498,23.733291,0.0,207.2345145641033
,,313.16,37.991498,23.733291,0.0,207.2345145641033
,,314.16,37.991498,23.733291,0.0,207.2345145641033
,,315.16,37.991498,23.733291,0.0,207.2345145641033
,,316.16,37.991498,23.733291,0.0,207.2345145641033
,,317.16,37.991498,23.733291,0.0,207.2345145641033
,,318.16,37.991498,23.733291,0.0,207.2345145641033
,,319.16,37.991498,23.733291,0.0,207.2345145641033
,,320.16,37.991498,23.733291,0.0,207.2345145641033
,,321.16,37.991498,23.733291,0.0,207.2345145641033
,,322.16,37.991498,23.733291,0.0,207.2345145641033
,,323.16,37.991498,23.733291,0.0,207.2345145641033
,,324.16,37.991498,23.733291,0.0,207.2345145641033
,,325.16,37.991498,23.733291,0.0,207.2345145641033
,,326.16,37.991498,23.733291,0.0,207.2345145641033
,,327.16,37.991498,23.733291,0.0,207.2345145641033
,,328.16,37.991498,23.733291,0.0,207.2345145641033
,,329.16,37.991498,23.733291,0.0,207.2345145641033
,,330.16,37.991498,23.733291,0.0,207.2345145641033
,,331.16,37.991498,23.733291,0.0,207.2345145641033
,,332.16,37.991498,23.733291,0.0,207.2345145641033
,,333.16,37.991498,23.733291,0.0,207.2345145641033
,,334.16,37.991498,23.733291,0.0002,207.2345145641033
,,335.16,37.991498,23.733291,0.0185,207.2345145641033
,,336.16,37.991498,23.73329,0.3462,207.32045139388947
,,337.16,37.991499,23.733285000000002,4.4058,207.7719071404519
,,338.16,37.991502000000004,23.733264000000002,8.7769,209.6418945922501
,,339.16,37.991507,23.733229,13.6549,212.75855169046523
,,340.16,37.991514,23.733184,13.3651,216.7781101461755
,,341.16,37.991519,23.733147,11.132,220.0666801415021
,,342.16,37.991525,23.733113,11.3166,223.1191144488455
,,343.16,37.991531,23.733078,11.5192,226.25751170050182
,,344.16,37.991539,23.73304,14.4148,229.69733904118794
,,345.16,37.991547,23.732988,18.6202,234.34020651353615
,,346.16,37.991556,23.732926000000003,20.042,239.86418821621135
,,347.16,37.991566,23.732863000000002,21.1244,245.49591908432262
,,348.16,37.991576,23.732797,20.3906,251.38544687048878
,,349.16,37.991585,23.732735,19.7311,256.90946709900896
,,350.16,37.991594,23.732679,14.6432,261.9178620319368
,,351.16,37.991599,23.732646,7.5432,264.8626327577736
,,352.16,37.991602,23.732629,4.3384,266.38886673314596
,,353.16,37.991603999999995,23.732619,1.914,267.29177841124846
,,354.16,37.991603999999995,23.732616,0.2465,267.54958669673596
,,355.16,37.991603999999995,23.732616,0.0018,267.54958669673596
,,356.16,37.991603999999995,23.732616,0.0002,267.54958669673596
,,357.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,358.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,359.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,360.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,361.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,362.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,363.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,364.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,365.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,366.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,367.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,368.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,369.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,370.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,371.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,372.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,373.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,374.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,375.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,376.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,377.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,378.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,379.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,380.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,381.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,382.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,383.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,384.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,385.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,386.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,387.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,388.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,389.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,390.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,391.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,392.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,393.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,394.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,395.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,396.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,397.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,398.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,399.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,400.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,401.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,402.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,403.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,404.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,405.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,406.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,407.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,408.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,409.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,410.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,411.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,412.16,37.991603999999995,23.732616,0.0,267.54958669673596
,,413.16,37.991603999999995,23.732616,0.0003,267.54958669673596
,,414.16,37.991603999999995,23.732616,0.6162,267.54958669673596
,,415.16,37.991605,23.732604000000002,8.7636,268.60262173735447
,,416.16,37.991611999999996,23.732566000000002,13.9626,272.02059133898354
,,417.16,37.991619,23.732519,17.1635,276.21201837468254
,,418.16,37.991628999999996,23.732460999999997,19.7889,281.41405927663254
,,419.16,37.991639,23.732398,21.3286,287.04578383839
,,420.16,37.991651,23.732328,23.2684,293.3226461930714
,,421.16,37.991664,23.732255,23.6524,299.87918341434454
,,422.16,37.991676,23.732181,24.2863,306.4997894901527
,,423.16,37.991688,23.732107,22.6622,313.1203976060547
,,424.16,37.991698,23.732043,19.0167,318.83803818573597
,,425.16,37.991707,23.731988,15.7744,323.76053698900375
,,426.16,37.991715,23.731945,12.1848,327.63018400112685
,,427.16,37.99172,23.731913,8.9405,330.48899967845966
,,428.16,37.991723,23.73189,5.453,332.5307429894654
,,429.16,37.991725,23.731878,3.4401,333.6055416004365
,,430.16,37.991727000000004,23.731868,2.8231,334.5085232364115
,,431.16,37.991727000000004,23.731861,1.1155,335.1098993377584
,,432.16,37.991727000000004,23.73186,0.0059,335.1958137756884
,,433.16,37.991727000000004,23.73186,0.001,335.1958137756884
,,434.16,37.991727000000004,23.73186,0.0,335.1958137756884
,,435.16,37.991727000000004,23.73186,0.0,335.1958137756884
,,436.16,37.991727000000004,23.73186,0.0,335.1958137756884
,,437.16,37.991727000000004,23.73186,0.0,335.1958137756884
,,438.16,37.991727000000004,23.73186,0.0,335.1958137756884
,,439.16,37.991727000000004,23.73186,0.0,335.1958137756884
,,440.16,37.991727000000004,23.73186,0.0,335.1958137756884
,,441.16,37.991727000000004,23.73186,0.0,335.1958137756884
,,442.16,37.991727000000004,23.73186,0.0001,335.1958137756884
,,443.16,37.991727000000004,23.73186,0.1157,335.1958137756884
,,444.16,37.991729,23.731853,7.2786,335.8410491662448
,,445.16,37.991735,23.731817000000003,13.4786,339.0654469720137
