Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
1129.0,Car,401.76,37.991129,23.735612,55.9588,0.0
,,402.76,37.991156,23.735443,53.2512,15.11128401107465
,,403.76,37.991182,23.735282,50.7266,29.51339539934065
,,404.76,37.991206,23.735131,46.4464,43.01242704704573
,,405.76,37.991228,23.734994,41.8872,55.26487892696062
,,406.76,37.991248,23.734872,35.7736,66.18489100272664
,,407.76,37.991263000000004,23.734773,28.7687,75.01895730094057
,,408.76,37.991276,23.734692000000003,23.9284,82.26293874407766
,,409.76,37.991285999999995,23.734625,19.4139,88.23826819590465
,,410.76,37.991295,23.73457,16.0545,93.1608205553305
,,411.76,37.991302000000005,23.734526000000002,12.5567,97.09445890213127
,,412.76,37.991309,23.734489,12.3859,100.42689628442311
,,413.76,37.991315,23.73445,12.8777,103.90899688276698
,,414.76,37.991322,23.734407,15.6298,107.75675249415282
,,415.76,37.991331,23.734351999999998,19.5225,112.67933268963714
,,416.76,37.991341,23.734288,21.5507,118.39695295328028
,,417.76,37.991353000000004,23.734218,23.8168,124.67415484808053
,,418.76,37.991365,23.734144,22.0944,131.2948510307227
,,419.76,37.991375,23.734082,18.7742,136.84071919722174
,,420.76,37.991383,23.734026,17.8612,141.8269885266931
,,421.76,37.991391,23.733970000000003,17.5604,146.8133359523197
,,422.76,37.991398,23.733917,16.5429,151.5200669354907
,,423.76,37.991406,23.733867,15.4708,155.991101956839
,,424.76,37.991413,23.733822,14.0205,160.01064302104444
,,425.76,37.99142,23.73378,12.699,163.7724597346414
,,426.76,37.991424,23.733744,9.7531,166.95304528657812
,,427.76,37.991428000000006,23.73372,6.08,169.10263406466402
,,428.76,37.991431,23.733705,3.8701,170.45707222878409
,,429.76,37.991432,23.733696,1.9575,171.2522257485484
,,430.76,37.991433,23.733693,0.3747,171.5318721056567
,,431.76,37.991433,23.733693,0.001,171.5318721056567
,,432.76,37.991433,23.733693,0.0001,171.5318721056567
,,433.76,37.991432,23.733693,0.0011,171.50999503351136
