Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
1810.0,Taxi,683.68,37.991131,23.735612,41.6778,0.0
,,684.68,37.991151,23.73549,37.5134,10.920120612346292
,,685.68,37.991169,23.735375,36.4868,21.194573661587782
,,686.68,37.991187,23.735265,35.1573,31.03978321140446
,,687.68,37.991203999999996,23.735155,35.1395,40.86278314932276
,,688.68,37.991221,23.735049,33.5454,50.34229615336618
,,689.68,37.991237,23.734948000000003,31.272,59.370283791956965
,,690.68,37.991252,23.734855,29.3261,67.68908655543055
,,691.68,37.991265999999996,23.734766,27.7916,75.64225300246964
,,692.68,37.991279,23.734682,26.7198,83.14391528994058
,,693.68,37.991292,23.734601,25.7096,90.38788909631327
,,694.68,37.991304,23.734522,24.9421,97.43806565374106
,,695.68,37.991316,23.734445,24.8765,104.316445981636
,,696.68,37.991328,23.734368,24.8785,111.194830106641
,,697.68,37.99134,23.734291,24.6092,118.07321717536686
,,698.68,37.991352,23.734216,23.3332,124.77976771770825
,,699.68,37.991363,23.734147,21.3316,130.9489183839633
,,700.68,37.991372999999996,23.734084,19.1152,136.5806682649599
,,701.68,37.991381,23.734026999999998,18.0593,141.65315477053
,,702.68,37.99139,23.733973000000002,16.8605,146.4897257859763
,,703.68,37.991399,23.733923,15.5452,150.98266085886834
,,704.68,37.991406,23.733875,14.9159,155.25994522155665
,,705.68,37.991413,23.733832999999997,12.7294,159.02174722759958
,,706.68,37.99142,23.733795,11.5968,162.43993773807625
,,707.68,37.991425,23.73376,10.837,165.556476762571
,,708.68,37.99143,23.733728,10.1006,168.41530388816417
,,709.68,37.991436,23.733697,10.1297,171.21021304473314
,,710.68,37.991440000000004,23.733666,10.3328,173.9611416320266
,,711.68,37.991445,23.733632999999998,11.6199,176.9058763735228
,,712.68,37.991452,23.733591,14.7148,180.66769139046679
,,713.68,37.99146,23.733543,16.112,184.96691682933852
,,714.68,37.991467,23.733493,15.8902,189.41598766077269
,,715.68,37.991475,23.733446,14.2126,193.62929175077323
,,716.68,37.991482,23.733404999999998,12.6091,197.30520924761285
,,717.68,37.991489,23.733368,11.2607,200.63756414758004
,,718.68,37.991495,23.733335,9.7043,203.60434623747696
,,719.68,37.991496999999995,23.73331,5.1599,205.79577201783312
,,720.68,37.991498,23.733304999999998,0.5587,206.24727400054667
,,721.68,37.991496999999995,23.733306,0.0045,206.13939380235553
,,722.68,37.991496999999995,23.733306,1.11,206.13939380235553
,,723.68,37.991499,23.733291,6.5756,207.471926173452
,,724.68,37.991502000000004,23.733275,3.8293,208.9123101788091
,,725.68,37.991503,23.733266,2.4155,209.70744004282164
,,726.68,37.991505,23.733258,2.7821,210.4386103786846
,,727.68,37.991507,23.73325,2.0427,211.16981069948375
,,728.68,37.991507,23.733248,0.2127,211.34161035806235
,,729.68,37.991507,23.733248,0.002,211.34161035806235
,,730.68,37.991507,23.733248,0.0,211.34161035806235
,,731.68,37.991507,23.733248,0.0,211.34161035806235
,,732.68,37.991507,23.733248,0.0,211.34161035806235
,,733.68,37.991507,23.733248,0.0,211.34161035806235
,,734.68,37.991507,23.733248,0.0003,211.34161035806235
,,735.68,37.991507,23.733248,1.1113,211.34161035806235
,,736.68,37.991508,23.733234,6.5115,212.56626602634577
,,737.68,37.99151,23.733218,3.9582,213.98472326629195
,,738.68,37.991512,23.733207,3.7365,214.97360596626515
,,739.68,37.991514,23.733193,4.8388,216.22023556519386
,,740.68,37.991516,23.733179,4.3676,217.46686771030673
,,741.68,37.991519,23.733166,3.8468,218.64949505304662
,,742.68,37.991521,23.733156,2.982,219.55248089658235
,,743.68,37.991521999999996,23.733145999999998,3.1056,220.43351886106475
,,744.68,37.991523,23.733137,2.8469,221.22865927600134
,,745.68,37.991525,23.733128,2.8744,222.0457205391202
,,746.68,37.991526,23.733119,2.8521,222.8408575660234
,,747.68,37.991528,23.733110999999997,2.8218,223.5720146973239
,,748.68,37.99153,23.733102,2.835,224.38910257618397
,,749.68,37.991531,23.733094,1.4918,225.09831362623254
,,750.68,37.991531,23.733093,0.1598,225.18421967505034
,,751.68,37.991531,23.733093,0.0016,225.18421967505034
,,752.68,37.991531,23.733093,0.0,225.18421967505034
,,753.68,37.991531,23.733093,0.0,225.18421967505034
,,754.68,37.991531,23.733093,0.43,225.18421967505034
,,755.68,37.991532,23.733088000000002,2.04,225.63571590211995
,,756.68,37.991532,23.733086,0.1956,225.80752853923144
,,757.68,37.991532,23.733086,0.0021,225.80752853923144
,,758.68,37.991532,23.733086,0.0,225.80752853923144
,,759.68,37.991532,23.733086,0.0,225.80752853923144
,,760.68,37.991532,23.733086,0.0,225.80752853923144
,,761.68,37.991532,23.733086,0.0,225.80752853923144
,,762.68,37.991532,23.733086,0.0,225.80752853923144
,,763.68,37.991532,23.733086,0.0,225.80752853923144
,,764.68,37.991532,23.733086,0.0,225.80752853923144
