Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
774.0,Taxi,247.36,37.991132,23.73561,32.3377,0.0
,,248.36,37.991146,23.735511,31.9107,8.814264747252604
,,249.36,37.991161,23.73541,33.2871,17.820850840065557
,,250.36,37.991178999999995,23.735305,34.2261,27.23431964529561
,,251.36,37.991196,23.735198999999998,33.8724,36.71363156965494
,,252.36,37.991214,23.735095,33.5783,46.04302677889953
,,253.36,37.991231,23.734992000000002,32.8176,55.26487675657418
,,254.36,37.991246999999994,23.734892000000002,32.2234,64.20697667955092
,,255.36,37.991263000000004,23.734792000000002,32.3138,73.14907478236654
,,256.36,37.991279,23.734692000000003,32.2229,82.09117104717372
,,257.36,37.991295,23.734593,31.6431,90.9473883429417
,,258.36,37.991312,23.734496,30.9527,99.65413923307557
,,259.36,37.991327000000005,23.734402,29.4668,108.0587976885058
,,260.36,37.991341,23.734313,27.9558,116.01189712192752
,,261.36,37.991354,23.734229,25.4659,123.51345659849957
,,262.36,37.991365,23.734154,23.5732,130.197846723542
,,263.36,37.991376,23.73408,24.4418,136.79643425474853
,,264.36,37.991388,23.734003,24.9053,143.6747833083884
,,265.36,37.9914,23.733926,24.6006,150.5531371577382
,,266.36,37.991412,23.733851,24.5643,157.25969403939953
,,267.36,37.991424,23.733773,25.8063,164.22395201082415
,,268.36,37.991437,23.733691,26.6698,171.55381171893612
,,269.36,37.99145,23.733609,26.1988,178.88367025351675
,,270.36,37.991464,23.733529,25.8552,186.06375099054597
,,271.36,37.991479,23.73345,25.3117,193.1802275939202
,,272.36,37.991495,23.733373,24.9954,200.14773698161846
,,273.36,37.991512,23.733296,26.6876,207.13862655852458
,,274.36,37.991531,23.733210999999997,26.9147,214.86246338240383
,,275.36,37.991548,23.733139,20.2559,221.42705158239204
,,276.36,37.99156,23.733087,14.351,226.16243845133883
,,277.36,37.991566999999996,23.733052,7.7369,229.3247311586327
,,278.36,37.99157,23.733039,2.377,230.50870438427407
,,279.36,37.99157,23.733031,3.3244,231.19398976086632
,,280.36,37.991572,23.73302,3.5513,232.1831683206495
,,281.36,37.991574,23.733009,3.5271,233.17234773194787
,,282.36,37.991576,23.732998000000002,3.4876,234.161527983177
,,283.36,37.991578000000004,23.732988,3.3847,235.06504771232082
,,284.36,37.99158,23.732976999999998,3.3057,236.05423071299086
,,285.36,37.991581,23.732967000000002,3.3709,236.93430254365612
