Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
1395.0,Car,513.64,37.991129,23.735609,32.9494,0.0
,,514.64,37.991145,23.735509,31.9142,8.942112072568438
,,515.64,37.991161,23.735412,30.9976,17.626655729799573
,,516.64,37.991177,23.735318,29.9129,26.05387079095675
,,517.64,37.991192,23.735225,30.5454,34.37263252162616
,,518.64,37.991207,23.735128,31.7911,43.03469907622497
,,519.64,37.991222,23.73503,30.2613,51.782782053632204
,,520.64,37.991234999999996,23.734939999999998,28.297,59.799793670869114
,,521.64,37.991248,23.734855,26.0685,67.38743431624896
,,522.64,37.99126,23.734778,23.7412,74.26584082196737
,,523.64,37.991271000000005,23.734707999999998,21.2519,80.52092099489782
,,524.64,37.991282,23.734647,18.5873,86.00274597486897
,,525.64,37.991291,23.734592000000003,17.1286,90.92529792610124
,,526.64,37.9913,23.734541,15.8545,95.5043157281429
,,527.64,37.991307,23.734493,14.8615,99.78149450354611
,,528.64,37.991314,23.734448999999998,13.9739,103.71513190538411
,,529.64,37.991321,23.734407,12.858,107.47698947252721
,,530.64,37.991326,23.734369,11.735,110.85119065339562
,,531.64,37.991332,23.734334,10.3606,113.98971812583086
,,532.64,37.991336,23.734304,8.8695,116.65475956943108
,,533.64,37.99134,23.734279,7.8834,118.89027857666875
,,534.64,37.991343,23.734256,6.7293,120.93205565212385
,,535.64,37.991347,23.734235,7.8589,122.82391415754387
,,536.64,37.991353000000004,23.734208,9.2668,125.27528103959929
,,537.64,37.991359,23.734176,12.1143,128.15623930459765
,,538.64,37.991365,23.734133,15.4097,131.98184553239835
,,539.64,37.991372,23.734081,17.4923,136.60262211307284
,,540.64,37.991381,23.734023999999998,19.3633,141.69696733311716
,,541.64,37.991391,23.733960999999997,21.6163,147.3287161946337
,,542.64,37.991402,23.73389,24.0757,153.66967712109607
,,543.64,37.991413,23.733813,25.1812,160.5261342423926
,,544.64,37.991426000000004,23.733732999999997,26.3495,167.68415773781018
,,545.64,37.991439,23.733653,24.6312,174.84218797250912
,,546.64,37.991452,23.733581,22.201,181.3129975736621
,,547.64,37.991463,23.733514000000003,21.1882,187.3103555821792
,,548.64,37.991473,23.73345,20.3204,193.0279912903962
,,549.64,37.991483,23.733388,19.8759,198.573837256915
,,550.64,37.991492,23.733326,19.6717,204.0976648912814
,,551.64,37.991501,23.733267,18.1469,209.36381100279917
,,552.64,37.99151,23.733214,16.3257,214.11453527639387
,,553.64,37.991518,23.733165,15.1458,218.49966688283408
,,554.64,37.991526,23.73312,14.0427,222.54122244997745
,,555.64,37.991532,23.733078,13.0305,226.28102222702765
,,556.64,37.991538,23.733039,12.0479,229.7631427400537
,,557.64,37.991544,23.733003,10.9883,232.98756808047747
,,558.64,37.991548,23.732971,9.7819,235.82439307922334
,,559.64,37.991552,23.732941,9.9049,238.48945064349004
,,560.64,37.991554,23.732909,10.4031,241.28272184417906
,,561.64,37.991557,23.732877,9.7496,244.09810108767428
,,562.64,37.991562,23.732848,9.1336,246.69908666564157
,,563.64,37.991568,23.732823,6.5209,248.97808837478465
,,564.64,37.991572,23.732808,3.5202,250.3543339747518
,,565.64,37.991572999999995,23.732802,0.7282,250.89173140591947
,,566.64,37.991572999999995,23.732802,0.0024,250.89173140591947
,,567.64,37.991572999999995,23.732802,0.0002,250.89173140591947
,,568.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,569.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,570.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,571.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,572.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,573.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,574.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,575.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,576.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,577.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,578.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,579.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,580.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,581.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,582.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,583.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,584.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,585.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,586.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,587.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,588.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,589.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,590.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,591.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,592.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,593.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,594.64,37.991572999999995,23.732802,0.0,250.89173140591947
,,595.64,37.991572999999995,23.732802,0.0001,250.89173140591947
,,596.64,37.991572999999995,23.732802,0.0028,250.89173140591947
,,597.64,37.991572999999995,23.732802,0.0351,250.89173140591947
,,598.64,37.991574,23.732802,1.211,250.91363441664677
,,599.64,37.991575,23.732793,5.5143,251.70877513700728
,,600.64,37.99158,23.732765,11.8053,254.22394599169158
,,601.64,37.991587,23.732722,15.4513,258.07165854346493
,,602.64,37.991595000000004,23.732669,18.8276,262.8004151092588
,,603.64,37.991603999999995,23.732608,20.25,268.2384097904019
,,604.64,37.991615,23.732543,21.5588,274.06388056647535
,,605.64,37.991626000000004,23.732477,19.909,279.97527997710716
,,606.64,37.991634999999995,23.73242,17.4564,285.06961066070085
,,607.64,37.991642999999996,23.732367,16.9793,289.79836245939845
,,608.64,37.991651,23.732314000000002,16.8757,294.5271204163857
,,609.64,37.991659999999996,23.732263,15.8629,299.1059807104366
,,610.64,37.991667,23.732216,14.6272,303.29733000054233
,,611.64,37.991673999999996,23.732172,14.3797,307.23094845121676
,,612.64,37.991682,23.732127,14.5295,311.2724233135172
,,613.64,37.991689,23.732084,12.5507,315.1201360315165
,,614.64,37.991695,23.732049,10.313,318.2586412672374
