Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
2084.0,Car,786.48,37.991139000000004,23.735612,44.1313,0.0
,,787.48,37.991158,23.735474,43.0427,12.276561901382223
,,788.48,37.991174,23.735345000000002,41.2966,23.719564504606623
,,789.48,37.991194,23.735214000000003,43.6937,35.41019738096584
,,790.48,37.991215999999994,23.735073999999997,44.2695,47.917874717435836
,,791.48,37.991236,23.734944,39.1523,59.52442847396124
,,792.48,37.991253,23.734832,33.4028,69.51945107955986
,,793.48,37.991268,23.734734,31.5602,78.26769832819431
,,794.48,37.991285,23.734634,31.4643,87.22939396974813
,,795.48,37.991296999999996,23.734541,29.2648,95.48545060405061
,,796.48,37.991312,23.73445,28.7504,103.63095290962444
,,797.48,37.991328,23.734364000000003,27.8458,111.36722187144399
,,798.48,37.991343,23.73428,24.1166,118.91115901097272
,,799.48,37.991352,23.734217,19.7843,124.5215892121631
,,800.48,37.991362,23.734151,20.6007,130.4112875257336
,,801.48,37.99137,23.734092999999998,17.0397,135.57045742002634
,,802.48,37.991378999999995,23.734047,12.7023,139.71834418498344
,,803.48,37.991384000000004,23.734014000000002,9.879,142.66318801360225
,,804.48,37.991389,23.733983,9.9574,145.43599306857308
,,805.48,37.991393,23.733952,10.6147,148.18757056277843
,,806.48,37.991397,23.733915,12.3909,151.45544015831553
,,807.48,37.991403999999996,23.733875,14.2411,155.0447722814829
,,808.48,37.991412,23.733825,19.5781,159.51563288507936
,,809.48,37.991423,23.733752,24.6351,166.0287081761237
,,810.48,37.991434000000005,23.733676000000003,24.8551,172.7998961878137
,,811.48,37.991445,23.733598,24.3878,179.74320085204997
,,812.48,37.991457000000004,23.733525,23.7313,186.27736054406026
,,813.48,37.99147,23.733451000000002,22.9635,192.9187826568173
,,814.48,37.991481,23.733385000000002,19.3351,198.82970215065657
,,815.48,37.99149,23.733332,15.4487,203.5799335581219
,,816.48,37.991498,23.733289000000003,14.0116,207.4488476223864
,,817.48,37.991504,23.733242,14.957,211.61905017462323
,,818.48,37.991512,23.733197,14.3057,215.6599643218214
,,819.48,37.991519,23.733153,14.8744,219.5935293724497
,,820.48,37.991527000000005,23.733105,15.9139,223.89248091809037
,,821.48,37.991535,23.733056,15.1771,228.27743611736886
,,822.48,37.991544,23.733012,12.6414,232.25402782289368
,,823.48,37.991549,23.732979999999998,8.1523,235.112862931415
,,824.48,37.991552,23.732962,3.0691,236.7250010422517
,,825.48,37.991553,23.732961,0.3507,236.8325569937592
,,826.48,37.991553,23.732961,0.0016,236.8325569937592
,,827.48,37.991553,23.732961,0.0,236.8325569937592
,,828.48,37.991553,23.732961,0.0,236.8325569937592
,,829.48,37.991553,23.732961,0.0,236.8325569937592
