Tracked Vehicle,Type,Time[s],Latitude [deg],Longitude [deg],Speed[km / h],Distance[m]
1437.0,Car,524.64,37.991129,23.735611,38.6607,0.0
,,525.64,37.991147,23.735494,36.8051,10.446636856101874
,,526.64,37.991165,23.735382,35.3362,20.46339389947701
,,527.64,37.991182,23.735275,33.2229,30.028789783819285
,,528.64,37.991198,23.735176,30.7985,38.88495500747793
,,529.64,37.991212,23.735084,28.5613,47.09592685773839
,,530.64,37.991225,23.734999,26.4919,54.68362073864683
,,531.64,37.991237,23.734920000000002,23.8804,61.733951852176894
,,532.64,37.991248,23.73485,21.3624,67.98903189617135
,,533.64,37.991257,23.734789000000003,17.3112,73.42723520150805
,,534.64,37.991264,23.734744,11.7249,77.44681347650662
,,535.64,37.991269,23.734714,9.1011,80.1337241799962
,,536.64,37.991274,23.734688000000002,7.5972,82.4768513068533
,,537.64,37.991277000000004,23.734666,6.8043,84.43281155579047
,,538.64,37.991279999999996,23.734645,6.5661,86.3028392013927
,,539.64,37.991283,23.734625,6.704,88.08691466061724
,,540.64,37.991285999999995,23.734603,7.1022,90.04292662777519
,,541.64,37.991289,23.734579999999998,7.7624,92.08494318556399
,,542.64,37.991293,23.734556,8.0012,94.23445074004022
,,543.64,37.991298,23.734528,10.9423,96.74941314522076
,,544.64,37.991305,23.734485,16.6023,100.59706488868042
,,545.64,37.991314,23.734431,16.7158,105.43355029227762
,,546.64,37.991322,23.734382999999998,14.2849,109.73267513603862
,,547.64,37.991329,23.734342,12.3333,113.40849446193694
,,548.64,37.991337,23.734306,11.5191,116.67674978890341
,,549.64,37.991343,23.734277,4.7691,119.30002510493716
,,550.64,37.991344,23.734274,0.016,119.57983377251996
,,551.64,37.991344,23.734274,0.0009,119.57983377251996
,,552.64,37.991344,23.734274,0.0,119.57983377251996
,,553.64,37.991344,23.734274,0.0,119.57983377251996
,,554.64,37.991344,23.734274,0.0,119.57983377251996
,,555.64,37.991344,23.734274,0.0,119.57983377251996
,,556.64,37.991344,23.734274,0.0,119.57983377251996
,,557.64,37.991344,23.734274,0.0,119.57983377251996
,,558.64,37.991344,23.734274,0.0,119.57983377251996
,,559.64,37.991344,23.734274,0.0,119.57983377251996
,,560.64,37.991344,23.734274,0.0,119.57983377251996
,,561.64,37.991344,23.734274,0.0,119.57983377251996
,,562.64,37.991344,23.734274,0.0,119.57983377251996
,,563.64,37.991344,23.734274,0.0,119.57983377251996
,,564.64,37.991344,23.734274,0.0,119.57983377251996
,,565.64,37.991344,23.734274,0.0,119.57983377251996
,,566.64,37.991344,23.734274,0.0,119.57983377251996
,,567.64,37.991344,23.734274,0.0,119.57983377251996
,,568.64,37.991344,23.734274,0.0,119.57983377251996
,,569.64,37.991344,23.734274,0.0,119.57983377251996
,,570.64,37.991344,23.734274,0.0,119.57983377251996
,,571.64,37.991344,23.734274,0.0,119.57983377251996
,,572.64,37.991344,23.734274,0.0,119.57983377251996
,,573.64,37.991344,23.734274,0.0,119.57983377251996
,,574.64,37.991344,23.734274,0.0,119.57983377251996
,,575.64,37.991344,23.734274,0.0,119.57983377251996
,,576.64,37.991344,23.734274,0.0,119.57983377251996
,,577.64,37.991344,23.734274,0.0,119.57983377251996
,,578.64,37.991344,23.734274,0.0,119.57983377251996
,,579.64,37.991344,23.734274,0.0,119.57983377251996
,,580.64,37.991344,23.734274,0.0,119.57983377251996
,,581.64,37.991344,23.734274,0.0,119.57983377251996
,,582.64,37.991344,23.734274,0.0,119.57983377251996
,,583.64,37.991344,23.734274,0.0,119.57983377251996
,,584.64,37.991344,23.734274,0.0,119.57983377251996
,,585.64,37.991344,23.734274,0.0001,119.57983377251996
,,586.64,37.991344,23.734274,0.0179,119.57983377251996
,,587.64,37.991344,23.734274,0.2245,119.57983377251996
,,588.64,37.991344,23.734268,5.377,120.09506420382439
,,589.64,37.991347999999995,23.734239000000002,13.2021,122.67412356164326
,,590.64,37.991356,23.734185,21.9216,127.48874163764478
,,591.64,37.991368,23.734107,26.2695,134.45300576123097
,,592.64,37.991381,23.734023,28.7332,141.9546847695339
,,593.64,37.991396,23.733929999999997,29.8137,150.27344701300498
,,594.64,37.991411,23.733839,29.6318,158.42040913867106
,,595.64,37.991427,23.733747,29.791,166.67535378984593
,,596.64,37.991442,23.733654,30.3714,174.99413871895328
,,597.64,37.991457000000004,23.733560999999998,28.8062,183.31292309055706
,,598.64,37.99147,23.733475,26.4544,190.9863117281713
,,599.64,37.991481,23.733398,22.8285,197.84261819266928
,,600.64,37.99149,23.733334,18.3038,203.53830408109428
,,601.64,37.991498,23.733284,13.8934,208.00933220744272
,,602.64,37.991503,23.733247,9.9927,211.2977361720826
,,603.64,37.991507,23.733224,3.4852,213.3614134575884
,,604.64,37.991507,23.733222,0.0156,213.53324806598152
,,605.64,37.991507,23.733222,0.0016,213.53324806598152
,,606.64,37.991507,23.733222,0.0168,213.53324806598152
,,607.64,37.991507,23.733222,0.1933,213.53324806598152
,,608.64,37.991508,23.733218,4.1723,213.8988127082117
,,609.64,37.991512,23.733196,9.6897,215.87658630188722
,,610.64,37.991518,23.733157000000002,15.3137,219.35872409158452
,,611.64,37.991526,23.733102,19.072,224.25932659142936
,,612.64,37.991535,23.733039,22.0806,229.86920147756896
,,613.64,37.991547,23.732966,24.0513,236.40387959675124
,,614.64,37.991561,23.73289,25.8684,243.24014800150394
,,615.64,37.991575,23.732809,25.2374,250.50607637403255
,,616.64,37.991588,23.732734,23.5658,257.23465565751025
,,617.64,37.991599,23.732665,20.3946,263.40379266306854
,,618.64,37.991608,23.73261,15.4089,268.32633662954066
,,619.64,37.991615,23.732566000000002,13.5864,272.25995823192625
,,620.64,37.991622,23.732523999999998,13.2454,276.02180244231283
,,621.64,37.991628000000006,23.732485,12.3162,279.50390505074915
,,622.64,37.991634000000005,23.732448,11.4983,282.8142307187517
,,623.64,37.991640000000004,23.732414000000002,10.2704,285.86689807574186
,,624.64,37.991645,23.732384,9.1201,288.55393472393894
,,625.64,37.99165,23.732359,6.7922,290.8115766090011
,,626.64,37.991653,23.732343,3.7682,292.25205439825135
,,627.64,37.991654,23.732335,1.0525,292.96121334005795
,,628.64,37.991654,23.732335,0.0044,292.96121334005795
,,629.64,37.991654,23.732335,0.0004,292.96121334005795
,,630.64,37.991654,23.732335,0.0,292.96121334005795
,,631.64,37.991654,23.732335,0.0002,292.96121334005795
,,632.64,37.991654,23.732335,0.0075,292.96121334005795
,,633.64,37.991654,23.732335,0.0228,292.96121334005795
,,634.64,37.991654,23.732335,0.4533,292.96121334005795
,,635.64,37.991654,23.732332999999997,3.1343,293.1329666842376
,,636.64,37.991657000000004,23.732315,8.9581,294.745193284597
,,637.64,37.991664,23.732278,14.5556,298.0776939231878
,,638.64,37.991673999999996,23.732224,20.5882,302.93661299989293
,,639.64,37.991686,23.732155,22.5366,309.1279906912963
,,640.64,37.991696999999995,23.732086,22.6029,315.2971063535787
,,641.64,37.991707,23.732016,21.5251,321.5298365699329
,,642.64,37.991717,23.731953,19.6199,327.16154466448785
,,643.64,37.991727000000004,23.731896,16.8074,332.2780736041583
,,644.64,37.991735,23.731848,14.1138,336.57737240212845
,,645.64,37.991741,23.731810999999997,8.0722,339.8877060460292
,,646.64,37.991743,23.731798,2.1401,341.0483897643831
,,647.64,37.991743,23.731796,0.2234,341.22010981616984
,,648.64,37.991743,23.731796,0.0063,341.22010981616984
,,649.64,37.991743,23.731796,0.0009,341.22010981616984
,,650.64,37.991743,23.731796,0.0,341.22010981616984
,,651.64,37.991743,23.731796,0.0,341.22010981616984
,,652.64,37.991743,23.731796,0.0,341.22010981616984
,,653.64,37.991743,23.731796,0.0,341.22010981616984
,,654.64,37.991743,23.731796,0.0,341.22010981616984
,,655.64,37.991743,23.731796,0.0,341.22010981616984
,,656.64,37.991743,23.731796,0.0,341.22010981616984
,,657.64,37.991743,23.731796,0.0,341.22010981616984
,,658.64,37.991743,23.731796,0.0,341.22010981616984
,,659.64,37.991743,23.731796,0.0,341.22010981616984
,,660.64,37.991743,23.731796,0.0,341.22010981616984
,,661.64,37.991743,23.731796,0.0,341.22010981616984
,,662.64,37.991743,23.731796,0.0,341.22010981616984
,,663.64,37.991743,23.731796,0.0,341.22010981616984
,,664.64,37.991743,23.731796,0.0,341.22010981616984
,,665.64,37.991743,23.731796,0.0,341.22010981616984
,,666.64,37.991743,23.731796,0.0,341.22010981616984
,,667.64,37.991743,23.731796,0.0,341.22010981616984
,,668.64,37.991743,23.731796,0.0,341.22010981616984
,,669.64,37.991743,23.731796,0.0,341.22010981616984
,,670.64,37.991743,23.731796,0.0,341.22010981616984
,,671.64,37.991743,23.731796,0.0,341.22010981616984
,,672.64,37.991743,23.731796,0.0,341.22010981616984
,,673.64,37.991743,23.731796,0.0,341.22010981616984
,,674.64,37.991743,23.731796,0.0,341.22010981616984
,,675.64,37.991743,23.731796,0.0,341.22010981616984
,,676.64,37.991743,23.731796,0.0,341.22010981616984
,,677.64,37.991743,23.731796,0.0,341.22010981616984
,,678.64,37.991743,23.731796,0.0,341.22010981616984
,,679.64,37.991743,23.731796,0.0,341.22010981616984
,,680.64,37.991743,23.731796,0.0,341.22010981616984
,,681.64,37.991743,23.731796,0.0,341.22010981616984
,,682.64,37.991743,23.731796,0.0,341.22010981616984
,,683.64,37.991743,23.731796,0.0,341.22010981616984
,,684.64,37.991743,23.731796,0.0,341.22010981616984
,,685.64,37.991743,23.731796,0.0,341.22010981616984
,,686.64,37.991743,23.731796,0.0,341.22010981616984
,,687.64,37.991743,23.731796,0.0,341.22010981616984
,,688.64,37.991743,23.731796,0.0,341.22010981616984
,,689.64,37.991743,23.731796,0.0,341.22010981616984
,,690.64,37.991743,23.731796,0.0,341.22010981616984
,,691.64,37.991743,23.731796,0.0,341.22010981616984
,,692.64,37.991743,23.731796,0.0,341.22010981616984
,,693.64,37.991743,23.731796,0.0,341.22010981616984
,,694.64,37.991743,23.731796,0.0,341.22010981616984
,,695.64,37.991743,23.731796,0.0,341.22010981616984
,,696.64,37.991743,23.731796,0.0,341.22010981616984
,,697.64,37.991743,23.731796,0.0,341.22010981616984
,,698.64,37.991743,23.731796,0.0,341.22010981616984
,,699.64,37.991743,23.731796,0.0,341.22010981616984
,,700.64,37.991743,23.731796,0.0,341.22010981616984
,,701.64,37.991743,23.731796,0.0,341.22010981616984
,,702.64,37.991743,23.731796,0.0,341.22010981616984
,,703.64,37.991743,23.731796,0.0,341.22010981616984
,,704.64,37.991743,23.731796,0.0,341.22010981616984
,,705.64,37.991743,23.731796,0.0,341.22010981616984
,,706.64,37.991743,23.731796,0.0,341.22010981616984
,,707.64,37.991743,23.731796,0.0,341.22010981616984
,,708.64,37.991743,23.731796,0.0,341.22010981616984
,,709.64,37.991743,23.731796,0.0,341.22010981616984
,,710.64,37.991743,23.731796,0.0,341.22010981616984
,,711.64,37.991743,23.731796,0.0161,341.22010981616984
,,712.64,37.991743,23.731795,1.3857,341.30597119364114
,,713.64,37.991744,23.731785000000002,6.2003,342.18683672159403
,,714.64,37.991748,23.731754000000002,13.1195,344.9375540054193
,,715.64,37.991755,23.731707,15.9489,349.1287805519555
,,716.64,37.991763,23.731656,17.1968,353.6856739552872
,,717.64,37.991772,23.731601,17.585,358.6082275286566
,,718.64,37.99178,23.731548,17.0294,363.3368706031239
,,,,,,
